trade_date,instrument_type,side,quantity,price_per_cert,counterparty_name,client_name,settlement_status
2024-01-08,ESC,buy,1000,7.04,GreenPower Solutions,,settled
2024-01-12,ESC,buy,500,7.13,Energy Makeovers,,settled
2024-01-12,ESC,buy,10000,6.89,TradeCert Australia,,settled
2024-01-12,ESC,sell,1000,6.90,TradeCert Australia,EnergyAustralia,settled
2024-01-16,VEEC,buy,200,57.96,TradeCert Australia,,settled
2024-01-24,ESC,sell,10000,7.07,Greenfleet,Endeavour Energy,settled
2024-01-25,ESC,buy,10000,6.78,CER Registry Services,,settled
2024-01-29,ESC,buy,2000,6.69,Energy Makeovers,,settled
2024-01-29,ESC,buy,2000,7.28,GreenPower Solutions,,settled
2024-02-13,ESC,sell,10000,6.89,Energy Makeovers,Endeavour Energy,settled
2024-02-16,VEEC,buy,2000,60.52,Carbon Market Solutions,,pending
2024-02-23,ESC,buy,500,6.94,Sustainable Australia Fund,,settled
2024-02-28,ESC,buy,5000,6.69,CER Registry Services,,settled
2024-03-07,ESC,sell,3000,6.74,GreenPower Solutions,EnergyAustralia,settled
2024-03-08,ESC,sell,3000,7.15,TradeCert Australia,EnergyAustralia,settled
2024-03-05,ESC,buy,500,6.93,Energy Makeovers,,settled
2024-03-12,VEEC,buy,200,59.56,TradeCert Australia,,settled
2024-03-14,ESC,sell,500,6.48,Energy Makeovers,Endeavour Energy,settled
2024-03-13,ESC,buy,3000,6.83,Ecovantage Pty Ltd,,pending
2024-03-13,VEEC,sell,3000,60.25,Energy Makeovers,EnergyAustralia,settled
2024-03-15,ESC,buy,1000,6.51,Ecovantage Pty Ltd,,settled
2024-03-21,ESC,sell,2000,6.56,Sustainable Australia Fund,Origin Energy,settled
2024-03-29,VEEC,buy,2000,61.72,Energy Makeovers,,pending
2024-04-05,VEEC,buy,2000,62.09,GreenPower Solutions,,settled
2024-04-05,ESC,buy,5000,6.51,Sustainable Australia Fund,,settled
2024-04-11,VEEC,sell,2000,60.22,Greenfleet,Origin Energy,settled
2024-04-08,ESC,buy,1000,6.46,Sustainable Australia Fund,,settled
2024-04-08,ESC,sell,2000,6.44,Energy Makeovers,Endeavour Energy,settled
2024-04-18,ESC,buy,5000,6.73,Greenfleet,,settled
2024-04-18,VEEC,buy,200,61.80,TradeCert Australia,,settled
2024-04-18,ESC,sell,10000,6.81,Energy Makeovers,Origin Energy,settled
2024-04-17,VEEC,buy,500,61.12,Sustainable Australia Fund,,settled
2024-04-23,ESC,buy,1000,6.36,Energy Makeovers,,settled
2024-04-26,ESC,sell,5000,6.72,Ecovantage Pty Ltd,Origin Energy,settled
2024-04-23,ESC,buy,1000,6.71,TradeCert Australia,,settled
2024-04-30,ESC,sell,2000,6.55,Greenfleet,EnergyAustralia,settled
2024-05-03,ESC,buy,1000,6.42,Carbon Market Solutions,,settled
2024-05-06,ESC,buy,10000,6.46,CER Registry Services,,settled
2024-05-10,ESC,sell,5000,6.53,GreenPower Solutions,Origin Energy,pending
2024-05-06,VEEC,buy,200,61.86,Sustainable Australia Fund,,settled
2024-05-10,ESC,buy,5000,6.41,Energy Makeovers,,settled
2024-05-10,ESC,buy,2000,6.47,Sustainable Australia Fund,,settled
2024-05-15,ESC,buy,10000,6.11,Carbon Market Solutions,,settled
2024-05-13,ESC,sell,5000,6.56,Energy Makeovers,Origin Energy,settled
2024-05-24,ESC,sell,500,6.55,Sustainable Australia Fund,EnergyAustralia,settled
2024-05-30,VEEC,sell,3000,59.94,Ecovantage Pty Ltd,Endeavour Energy,settled
2024-05-27,VEEC,buy,200,60.19,Energy Makeovers,,settled
2024-05-28,ESC,sell,10000,6.22,CER Registry Services,AGL Energy,settled
2024-06-05,ESC,buy,500,6.45,Energy Makeovers,,settled
2024-06-05,ESC,buy,1000,6.81,Carbon Market Solutions,,settled
2024-06-20,ESC,buy,500,6.40,Energy Makeovers,,settled
2024-06-18,ESC,sell,5000,6.24,GreenPower Solutions,Ausgrid,settled
2024-06-26,ESC,sell,500,6.27,CER Registry Services,AGL Energy,settled
2024-06-24,ESC,buy,3000,6.60,GreenPower Solutions,,settled
2024-06-25,VEEC,sell,500,62.12,TradeCert Australia,Origin Energy,settled
2024-06-26,VEEC,buy,500,62.10,Carbon Market Solutions,,settled
2024-07-01,ESC,buy,3000,6.31,Sustainable Australia Fund,,settled
2024-07-11,ESC,sell,1000,6.50,Sustainable Australia Fund,Origin Energy,settled
2024-07-18,ESC,sell,2000,6.11,CER Registry Services,Endeavour Energy,settled
2024-07-19,ESC,buy,2000,6.35,GreenPower Solutions,,settled
2024-07-24,ESC,buy,2000,6.43,CER Registry Services,,settled
2024-07-26,ESC,sell,1000,6.31,Carbon Market Solutions,Origin Energy,settled
2024-07-29,ESC,sell,10000,6.27,Sustainable Australia Fund,EnergyAustralia,settled
2024-08-07,ESC,sell,500,6.39,Carbon Market Solutions,Endeavour Energy,settled
2024-08-08,ESC,sell,5000,6.35,GreenPower Solutions,AGL Energy,settled
2024-08-08,ESC,sell,5000,6.43,Carbon Market Solutions,Ausgrid,settled
2024-08-05,ESC,buy,5000,6.13,CER Registry Services,,settled
2024-08-15,ESC,buy,10000,6.10,GreenPower Solutions,,settled
2024-08-14,ESC,sell,2000,6.34,Energy Makeovers,AGL Energy,settled
2024-08-13,VEEC,buy,200,58.80,Sustainable Australia Fund,,pending
2024-08-16,VEEC,buy,2000,62.68,Sustainable Australia Fund,,settled
2024-08-15,ESC,buy,10000,6.37,Ecovantage Pty Ltd,,settled
2024-08-19,VEEC,buy,3000,61.62,Greenfleet,,settled
2024-08-20,VEEC,buy,500,58.65,Greenfleet,,settled
2024-08-23,ESC,sell,3000,6.43,TradeCert Australia,Endeavour Energy,settled
2024-08-27,VEEC,buy,1000,60.51,Sustainable Australia Fund,,settled
2024-08-28,VEEC,buy,500,57.84,Carbon Market Solutions,,settled
2024-09-04,ESC,buy,5000,6.16,Energy Makeovers,,settled
2024-09-03,ESC,buy,1000,6.27,Energy Makeovers,,settled
2024-09-04,ESC,buy,1000,6.49,TradeCert Australia,,settled
2024-09-06,VEEC,buy,3000,59.52,TradeCert Australia,,settled
2024-09-11,ESC,buy,3000,6.67,Sustainable Australia Fund,,settled
2024-09-11,ESC,buy,2000,6.27,TradeCert Australia,,settled
2024-09-19,VEEC,sell,3000,59.76,Ecovantage Pty Ltd,Ausgrid,settled
2024-09-16,ESC,buy,3000,6.33,GreenPower Solutions,,settled
2024-09-19,ESC,buy,2000,6.25,TradeCert Australia,,settled
2024-09-19,ESC,buy,500,6.13,Ecovantage Pty Ltd,,pending
2024-09-25,ESC,buy,10000,6.02,Ecovantage Pty Ltd,,settled
2024-09-24,ESC,buy,1000,6.36,Sustainable Australia Fund,,settled
2024-09-30,ESC,buy,10000,6.26,Carbon Market Solutions,,settled
2024-10-01,ESC,sell,10000,6.26,Energy Makeovers,AGL Energy,pending
2024-10-07,ESC,sell,5000,6.07,TradeCert Australia,Ausgrid,settled
2024-10-08,ESC,sell,10000,6.32,Sustainable Australia Fund,Origin Energy,settled
2024-10-09,VEEC,sell,200,60.86,Ecovantage Pty Ltd,EnergyAustralia,settled
2024-10-09,ESC,sell,500,6.32,TradeCert Australia,Ausgrid,settled
2024-10-09,ESC,sell,10000,6.82,GreenPower Solutions,Ausgrid,settled
2024-10-18,VEEC,buy,3000,60.41,Greenfleet,,settled
2024-10-18,ESC,sell,500,6.11,Carbon Market Solutions,Ausgrid,settled
2024-10-17,ESC,sell,2000,6.23,Ecovantage Pty Ltd,Ausgrid,settled
2024-10-15,ESC,buy,2000,6.16,CER Registry Services,,settled
2024-10-18,VEEC,buy,200,57.48,Sustainable Australia Fund,,settled
2024-10-17,ESC,sell,10000,6.29,Greenfleet,Ausgrid,settled
2024-10-21,ESC,buy,10000,6.11,Sustainable Australia Fund,,settled
2024-11-01,ESC,buy,2000,6.19,TradeCert Australia,,pending
2024-11-01,ESC,sell,2000,6.60,Carbon Market Solutions,EnergyAustralia,settled
2024-10-29,ESC,sell,10000,6.52,GreenPower Solutions,AGL Energy,settled
2024-11-07,ESC,buy,5000,6.14,Carbon Market Solutions,,pending
2024-11-05,ESC,buy,2000,6.37,Ecovantage Pty Ltd,,settled
2024-11-05,ESC,sell,5000,6.12,Carbon Market Solutions,AGL Energy,settled
2024-11-07,ESC,buy,2000,6.22,Greenfleet,,settled
2024-11-20,ESC,buy,3000,6.17,Energy Makeovers,,settled
2024-11-21,ESC,buy,10000,6.14,Ecovantage Pty Ltd,,settled
2024-11-22,VEEC,buy,500,63.20,Energy Makeovers,,settled
2024-11-21,ESC,sell,1000,6.30,TradeCert Australia,Ausgrid,settled
2024-11-27,VEEC,sell,1000,58.63,Ecovantage Pty Ltd,Endeavour Energy,pending
2024-11-25,VEEC,buy,500,63.36,Carbon Market Solutions,,settled
2024-11-26,ESC,buy,1000,6.14,Ecovantage Pty Ltd,,settled
2024-11-29,ESC,buy,2000,6.05,Carbon Market Solutions,,settled
2024-12-05,ESC,buy,2000,6.22,Sustainable Australia Fund,,settled
2024-12-13,ESC,buy,2000,6.54,GreenPower Solutions,,settled
2024-12-17,VEEC,buy,3000,57.94,Carbon Market Solutions,,settled
2024-12-26,ESC,sell,2000,6.08,Greenfleet,Ausgrid,settled
2024-12-23,VEEC,sell,3000,63.20,Carbon Market Solutions,Origin Energy,settled
2025-01-03,ESC,buy,10000,6.06,Carbon Market Solutions,,settled
2024-12-31,ESC,sell,2000,6.31,GreenPower Solutions,Endeavour Energy,settled
2025-01-02,VEEC,buy,2000,60.32,CER Registry Services,,settled
2025-01-13,VEEC,buy,2000,64.63,Carbon Market Solutions,,settled
2025-01-16,VEEC,buy,2000,58.57,Energy Makeovers,,settled
2025-01-15,ESC,sell,5000,6.27,Ecovantage Pty Ltd,Endeavour Energy,settled
2025-01-13,ESC,buy,3000,6.38,Greenfleet,,settled
2025-01-21,ESC,buy,2000,6.35,Greenfleet,,settled
2025-01-23,ESC,sell,5000,6.22,Sustainable Australia Fund,AGL Energy,settled
2025-01-20,ESC,buy,500,6.27,Greenfleet,,settled
2025-01-28,ESC,sell,5000,6.25,Carbon Market Solutions,Ausgrid,settled
2025-02-06,ESC,buy,3000,6.48,Sustainable Australia Fund,,settled
2025-02-07,VEEC,buy,200,64.16,Carbon Market Solutions,,settled
2025-02-13,ESC,sell,2000,6.46,Ecovantage Pty Ltd,EnergyAustralia,settled
2025-02-14,ESC,sell,1000,6.45,Greenfleet,Endeavour Energy,settled
2025-02-12,ESC,buy,3000,6.35,CER Registry Services,,settled
2025-02-11,ESC,buy,3000,6.36,Ecovantage Pty Ltd,,settled
2025-02-20,VEEC,sell,2000,64.62,GreenPower Solutions,Ausgrid,pending
2025-02-18,ESC,buy,500,6.30,Greenfleet,,settled
2025-02-20,ESC,buy,10000,6.31,GreenPower Solutions,,settled
2025-02-19,ESC,sell,10000,6.40,Energy Makeovers,EnergyAustralia,settled
2025-02-28,ESC,buy,10000,6.35,Greenfleet,,settled
2025-02-24,ESC,buy,10000,6.29,Carbon Market Solutions,,pending
2025-02-24,ESC,buy,10000,6.66,Energy Makeovers,,settled
2025-02-26,VEEC,buy,200,64.04,Carbon Market Solutions,,settled
2025-02-27,ESC,buy,5000,6.12,GreenPower Solutions,,settled
2025-03-03,ESC,buy,10000,6.33,Sustainable Australia Fund,,settled
2025-03-07,ESC,buy,2000,6.30,Greenfleet,,settled
2025-03-03,VEEC,buy,1000,62.56,GreenPower Solutions,,settled
2025-03-05,VEEC,buy,2000,59.49,Carbon Market Solutions,,settled
2025-03-05,ESC,buy,3000,6.67,Energy Makeovers,,settled
2025-03-14,ESC,buy,10000,6.49,Carbon Market Solutions,,settled
2025-03-13,ESC,buy,10000,6.34,Ecovantage Pty Ltd,,settled
2025-03-20,VEEC,sell,500,63.40,CER Registry Services,AGL Energy,settled
2025-04-04,ESC,sell,10000,6.41,GreenPower Solutions,Origin Energy,settled
2025-03-31,ESC,buy,5000,6.26,CER Registry Services,,settled
2025-04-07,VEEC,buy,2000,61.45,GreenPower Solutions,,settled
2025-04-11,VEEC,buy,3000,64.14,Carbon Market Solutions,,settled
2025-04-09,VEEC,sell,1000,65.83,CER Registry Services,Origin Energy,settled
2025-04-07,ESC,sell,10000,6.63,TradeCert Australia,Endeavour Energy,settled
2025-04-10,ESC,buy,3000,6.48,CER Registry Services,,settled
2025-04-16,ESC,sell,2000,6.53,Energy Makeovers,AGL Energy,settled
2025-05-02,VEEC,buy,3000,63.90,Sustainable Australia Fund,,settled
2025-05-08,VEEC,buy,2000,64.01,Energy Makeovers,,settled
2025-05-05,ESC,buy,500,6.67,Sustainable Australia Fund,,settled
2025-05-06,ESC,buy,10000,6.62,TradeCert Australia,,settled
2025-05-06,VEEC,sell,2000,65.93,TradeCert Australia,EnergyAustralia,settled
2025-05-07,ESC,buy,1000,6.68,CER Registry Services,,settled
2025-05-14,ESC,sell,2000,6.65,Ecovantage Pty Ltd,Ausgrid,settled
2025-05-12,VEEC,sell,200,65.96,Sustainable Australia Fund,Endeavour Energy,pending
2025-05-12,VEEC,buy,500,64.93,Sustainable Australia Fund,,settled
2025-05-16,ESC,buy,1000,6.97,CER Registry Services,,settled
2025-05-23,ESC,sell,1000,6.55,GreenPower Solutions,Endeavour Energy,settled
2025-05-27,ESC,sell,1000,6.74,Ecovantage Pty Ltd,EnergyAustralia,settled
2025-05-27,ESC,buy,2000,6.97,Ecovantage Pty Ltd,,settled
2025-05-29,ESC,sell,3000,6.84,Greenfleet,EnergyAustralia,settled
2025-06-02,ESC,buy,5000,6.63,Ecovantage Pty Ltd,,settled
2025-06-06,ESC,sell,500,6.85,Ecovantage Pty Ltd,Ausgrid,settled
2025-06-05,ESC,buy,3000,6.96,Energy Makeovers,,settled
2025-06-04,ESC,buy,2000,6.83,CER Registry Services,,settled
2025-06-13,ESC,buy,5000,6.75,TradeCert Australia,,settled
2025-06-23,VEEC,sell,3000,63.52,Sustainable Australia Fund,Ausgrid,settled
2025-06-24,ESC,sell,3000,7.03,TradeCert Australia,Origin Energy,settled
2025-06-25,ESC,buy,1000,6.81,Greenfleet,,settled
2025-06-30,ESC,buy,10000,7.04,CER Registry Services,,settled
2025-07-04,ESC,sell,5000,6.92,CER Registry Services,Origin Energy,settled
2025-07-10,VEEC,sell,1000,67.15,Carbon Market Solutions,EnergyAustralia,settled
2025-07-11,ESC,sell,1000,6.71,Energy Makeovers,EnergyAustralia,settled
2025-07-09,ESC,buy,1000,6.98,TradeCert Australia,,settled
2025-07-11,ESC,sell,500,7.07,Carbon Market Solutions,Origin Energy,settled
2025-07-09,VEEC,buy,500,68.97,GreenPower Solutions,,settled
2025-07-10,ESC,sell,500,6.78,Energy Makeovers,Endeavour Energy,settled
2025-07-10,ESC,buy,2000,6.86,CER Registry Services,,settled
2025-07-18,ESC,sell,1000,7.11,GreenPower Solutions,Endeavour Energy,settled
2025-07-14,ESC,sell,3000,6.95,Greenfleet,Ausgrid,settled
2025-07-18,ESC,buy,2000,6.80,Greenfleet,,settled
2025-07-16,ESC,buy,5000,6.90,Ecovantage Pty Ltd,,settled
2025-07-16,VEEC,sell,1000,69.15,Carbon Market Solutions,EnergyAustralia,settled
2025-07-24,VEEC,buy,2000,68.52,Sustainable Australia Fund,,settled
2025-08-06,ESC,sell,500,7.19,TradeCert Australia,Origin Energy,settled
2025-08-04,VEEC,buy,3000,67.41,TradeCert Australia,,settled
2025-08-14,ESC,buy,2000,7.25,GreenPower Solutions,,settled
2025-08-15,ESC,sell,2000,7.16,Energy Makeovers,Ausgrid,settled
2025-08-12,ESC,buy,500,7.09,TradeCert Australia,,settled
2025-08-20,ESC,sell,500,7.26,Energy Makeovers,Endeavour Energy,settled
2025-08-20,ESC,sell,10000,7.31,GreenPower Solutions,AGL Energy,settled
2025-08-20,ESC,sell,10000,6.93,Energy Makeovers,AGL Energy,pending
2025-08-28,ESC,buy,5000,7.03,Greenfleet,,settled
2025-09-05,ESC,sell,2000,7.32,CER Registry Services,AGL Energy,settled
2025-09-04,ESC,buy,2000,7.16,Ecovantage Pty Ltd,,settled
2025-09-01,ESC,buy,500,7.10,CER Registry Services,,settled
2025-09-01,ESC,sell,500,7.20,TradeCert Australia,Ausgrid,settled
2025-09-08,ESC,sell,10000,7.11,Sustainable Australia Fund,EnergyAustralia,settled
2025-09-19,ESC,buy,500,7.41,CER Registry Services,,pending
2025-09-15,ESC,buy,1000,7.49,Greenfleet,,pending
2025-10-03,ESC,buy,2000,7.56,Carbon Market Solutions,,settled
2025-10-01,ESC,buy,10000,7.33,CER Registry Services,,settled
2025-10-06,ESC,buy,2000,7.41,GreenPower Solutions,,settled
2025-10-10,ESC,sell,2000,7.14,TradeCert Australia,AGL Energy,settled
2025-10-13,ESC,buy,2000,7.59,GreenPower Solutions,,settled
2025-10-17,ESC,sell,5000,7.58,CER Registry Services,Origin Energy,settled
2025-10-14,VEEC,buy,2000,74.85,Sustainable Australia Fund,,settled
2025-10-21,ESC,buy,500,7.73,Ecovantage Pty Ltd,,settled
2025-10-31,ESC,buy,1000,7.61,GreenPower Solutions,,settled
2025-10-31,VEEC,buy,2000,70.78,Ecovantage Pty Ltd,,settled
2025-11-04,VEEC,sell,2000,69.83,Sustainable Australia Fund,Endeavour Energy,settled
2025-11-13,VEEC,buy,3000,70.79,Greenfleet,,settled
2025-11-12,VEEC,buy,2000,74.84,GreenPower Solutions,,settled
2025-11-14,ESC,buy,10000,7.89,Greenfleet,,settled
2025-11-14,VEEC,sell,3000,70.69,Energy Makeovers,EnergyAustralia,settled
2025-11-11,ESC,sell,1000,7.96,TradeCert Australia,Origin Energy,settled
2025-11-18,VEEC,sell,200,73.58,TradeCert Australia,Origin Energy,settled
2025-11-26,ESC,sell,2000,7.64,Sustainable Australia Fund,Origin Energy,settled
2025-11-24,VEEC,sell,500,70.72,GreenPower Solutions,Origin Energy,settled
2025-11-27,ESC,buy,10000,7.77,Greenfleet,,settled
2025-11-24,VEEC,buy,500,70.81,GreenPower Solutions,,settled
2025-12-05,ESC,buy,2000,7.78,Sustainable Australia Fund,,settled
2025-12-01,ESC,sell,5000,7.50,Greenfleet,Origin Energy,settled
2025-12-11,ESC,buy,5000,8.06,Sustainable Australia Fund,,settled
2025-12-10,ESC,sell,1000,7.86,TradeCert Australia,AGL Energy,settled
2025-12-15,ESC,buy,5000,8.10,Ecovantage Pty Ltd,,settled
2025-12-18,ESC,buy,2000,7.76,Carbon Market Solutions,,settled
2025-12-17,VEEC,buy,200,73.30,CER Registry Services,,settled
2025-12-24,ESC,sell,1000,8.10,Greenfleet,Ausgrid,settled
2025-12-23,ESC,sell,3000,7.64,Ecovantage Pty Ltd,EnergyAustralia,settled
2025-12-30,VEEC,buy,1000,70.62,TradeCert Australia,,pending
